name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABReal_50_1_15,50,1,15,385,1973,4450,3894,155,0,0,2072,16454,50418,84740,23314,2009,21,16185,136647,516573,1073004,335831,35022,1202,70957,967345,5246680,15155763,4352905,478853,19128,259252,3983458,29631552,123150303,52183504,6706602,211080,668825,14412519,123874369,634845241,320727790,53074972,2899368,832325,27160840,394336964,2714225077,1453890427,259732651,15229344,
ABReal_50_1_70,50,1,70,376,1887,4350,3887,155,0,0,1970,15717,48157,80714,22828,2009,21,15501,130894,492848,1023015,320027,33405,1187,57324,904228,5062568,14666039,4161027,456502,18242,85883,2235891,23488160,114869393,50422359,6505615,201266,76164,2573266,38176613,336065864,249669756,49275601,2808636,65543,2360766,41337414,436344769,422285233,133101118,11666392,
ABReal_50_1_95,50,1,95,345,1784,4216,3786,150,0,0,1710,13847,43603,75983,22276,1934,21,11649,111081,427285,893778,288645,31522,1162,25008,595350,3851199,12750261,3562786,395484,16408,24219,701380,9568910,71450096,37963783,5718466,168244,18851,656620,10258388,99604221,96752234,29974322,2119086,15399,558531,9936119,107607454,110702368,39107059,4508397,
ABReal_50_5_15,50,5,15,385,1973,4450,3894,155,0,0,2072,16454,50418,84740,23314,2009,21,10407,113609,516573,1073004,335831,35022,1202,31864,516385,3037055,11192615,4352905,478853,19128,81361,1718345,12032041,61601208,28505884,4703469,211080,23789,1453796,33614792,251677291,120150860,26126342,1520778,5614,333105,10590819,214220555,353769456,101397823,5619807,
ABReal_50_5_70,50,5,70,376,1887,4350,3887,155,0,0,1970,15717,48157,80714,22828,2009,21,9035,106518,492848,1023015,320027,33405,1187,5841,243157,2603159,10501794,4161027,456502,18242,1430,67862,1721794,24971546,24132723,4402278,201266,480,20374,439145,7020212,14556031,9774168,1273370,274,10490,206711,2640986,3895493,2502805,625322,
ABReal_50_5_95,50,5,95,345,1784,4216,3786,150,0,0,1710,13847,43603,75983,22276,1934,21,2213,68778,427285,893778,288645,31522,1162,516,23595,516491,6097867,3562786,395484,16408,167,6304,128175,1846230,3919794,2424355,168244,87,3238,56991,676918,1027026,694860,186561,62,2206,40374,459892,533849,240575,43884,
ABReal_50_10_15,50,10,15,385,1973,4450,3894,155,0,0,1965,16454,50418,84740,23314,2009,21,8315,89325,464747,1073004,335831,35022,1202,22508,353149,2303503,8127568,3776101,478853,19128,17891,881451,8254795,37767848,20849379,3369251,185628,2883,189114,6260435,112629633,81970789,15319353,1104072,703,36710,1103413,23632632,57825120,41308568,3911966,
ABReal_50_10_70,50,10,70,376,1887,4350,3887,155,0,0,1856,15717,48157,80714,22828,2009,21,4849,79754,438335,1023015,320027,33405,1187,998,52215,1183604,7148520,3560436,456502,18242,202,8830,224105,4080572,9343882,2939630,174784,78,3078,58390,793112,1632639,1486449,447614,36,1374,26450,326006,444657,252940,65854,
ABReal_50_10_95,50,10,95,345,1784,4216,3786,150,0,0,1495,13847,43603,75983,22276,1934,21,438,18327,318193,893778,288645,31522,1162,71,2955,66379,1149371,2364267,395484,16408,27,947,16306,190339,401976,416017,110606,10,416,7537,83789,109543,61124,17575,3,121,2324,28312,39657,20037,3544,
ABReal_50_15_15,50,15,15,385,1973,4450,3894,155,0,0,1787,16453,50418,84740,23314,2009,21,7316,78552,402235,1071993,335831,35022,1202,19607,263673,1975740,6955543,3149829,477076,19128,6114,368783,6925674,26750264,17409326,2845024,151036,962,59257,1915060,41250527,65525609,10827171,897957,262,12922,351165,6905223,16813216,14690723,2941882,
ABReal_50_15_70,50,15,70,376,1887,4350,3887,155,0,0,1672,15716,48157,80714,22828,2009,21,2314,65481,371612,1021954,320027,33405,1187,350,18297,480313,5493960,2892765,454655,18242,101,3704,77723,1267436,3363259,2165930,137889,38,1475,26945,324848,539086,451350,149649,12,514,10646,138479,188986,96662,20522,
ABReal_50_15_95,50,15,95,345,1784,4216,3786,150,0,0,853,13846,43603,75983,22276,1934,21,142,6533,151447,892181,288645,31522,1162,36,1217,21685,333070,967917,392894,16408,12,431,7310,78653,129427,115286,42326,1,76,2020,29762,45132,23330,5288,0,3,106,2304,6991,5783,1291,
ABReal_50_20_15,50,20,15,385,1973,4450,3894,155,0,0,1636,16092,50418,84740,23314,2009,21,6492,70554,360789,1024522,335831,35022,1202,14341,235247,1671398,6128030,2767802,447005,19128,2811,178100,4588835,23758957,14026641,2495787,135062,479,27968,852023,18601557,40201520,9672900,700897,138,6894,177141,3186916,7341303,6543304,1688863,
