name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFRandom_50_1_15,50,1,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8982,57804,1971,0,0,0,0,30194,701170,2600193,6393207,16045,0,0,223750,1659862,12718573,90893612,25569776,2561393,822,212028,9767844,107051990,268827636,137081115,39601127,1497882,65762,4298336,129377551,1842851700,1274605660,111562824,6603884,
AFRandom_50_1_70,50,1,70,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8982,57804,1971,0,0,0,0,28870,701140,2600193,6393207,16045,0,0,4346,394693,12185262,90890711,25569776,2561393,822,308,37896,2054923,63046601,131340311,39599822,1497882,24,2881,179767,6882262,24193988,25909149,6286597,
AFRandom_50_1_95,50,1,95,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6909,57779,1971,0,0,0,0,475,62823,1965563,6391287,16045,0,0,10,2070,191474,7930950,19392755,2560482,822,0,35,4588,317973,2069920,3439838,1159777,0,2,152,8997,59410,137009,103079,
AFRandom_50_5_15,50,5,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2174,13787,1971,0,0,0,0,2349,89405,667833,1518731,16045,0,0,25412,877144,960520,11614581,6566606,635072,822,1120,220744,12675663,144525355,10364164,4830528,362386,111,9694,662906,40025061,149968165,57995022,549407,
AFRandom_50_5_70,50,5,70,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2174,13787,1971,0,0,0,0,749,89333,667833,1518731,16045,0,0,5,2298,299351,11605921,6566606,635072,822,0,19,2015,314668,3246272,4826588,362386,0,0,90,5175,24825,135961,157923,
AFRandom_50_5_95,50,5,95,0,0,0,0,0,0,0,6,0,0,0,0,0,0,175,13737,1971,0,0,0,0,0,563,66799,1514611,16045,0,0,0,0,34,50104,664380,633239,822,0,0,0,4,311,27320,30045,0,0,0,0,0,2,19,
AFRandom_50_10_15,50,10,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1013,2308,1971,0,0,0,0,1718,11758,266126,228938,16045,0,0,2970,244185,691966,1705775,2619541,95958,822,68,16105,1508300,40875782,7440241,640337,165540,17,1111,48809,2892676,17853747,15981308,415335,
AFRandom_50_10_70,50,10,70,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1013,2308,1971,0,0,0,0,115,11686,266126,228938,16045,0,0,0,62,29680,1696918,2619541,95958,822,0,1,53,9343,310101,636307,165540,0,0,2,119,738,4443,23234,
AFRandom_50_10_95,50,10,95,0,0,0,0,0,0,0,6,0,0,0,0,0,0,46,2255,1971,0,0,0,0,0,27,9033,224581,16045,0,0,0,0,0,1752,98901,94020,822,0,0,0,0,0,963,11044,0,0,0,0,0,0,0,
AFRandom_50_15_15,50,15,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,168,397,1971,0,0,0,0,1299,3058,71387,59067,16045,0,0,712,60425,542602,336621,699379,17485,822,30,3273,291042,9966238,5864399,170939,27162,11,612,19134,618368,3418853,3956242,305340,
