name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFReal_50_1_15,50,1,15,236,114,0,0,0,0,0,1836,14394,26236,2825,0,0,0,14148,104989,433400,909732,165855,1142,0,66316,877847,4189507,10235772,3506766,400896,9905,269639,3783009,27434203,112426275,40652682,4336830,168608,841454,16102287,128981581,597855955,293445150,48354806,2204155,1165385,37332268,501801280,3003807760,1515466636,244380618,13991712,
AFReal_50_1_70,50,1,70,236,114,0,0,0,0,0,1836,14394,26236,2825,0,0,0,14049,104915,433400,909732,165855,1142,0,61834,857556,4162807,10231986,3506766,400896,9905,121166,2989984,25590881,110164383,40423626,4335252,168607,103878,3609208,55029822,464101258,273131964,47366521,2191459,86138,3166902,56934361,622062662,622618876,188284662,13002964,
AFReal_50_1_95,50,1,95,236,114,0,0,0,0,0,1791,14387,26236,2825,0,0,0,12534,94583,423656,909492,165855,1142,0,31600,661541,3621665,9213319,3432189,400796,9905,29997,885545,12228561,82795574,34853586,3902238,164969,22541,796285,12688417,126245032,124870129,35242273,1862848,17911,656137,11812441,129978050,137480073,50113390,5891964,
AFReal_50_5_15,50,5,15,236,114,0,0,0,0,0,1836,14394,26236,2825,0,0,0,10613,104989,433400,909732,165855,1142,0,35250,530959,3065322,10235772,3506766,400896,9905,134592,2143564,13435391,63258942,28909787,4336830,168608,70507,3914495,61986960,327512689,137495273,26879610,1588383,18594,1132664,36438961,664234458,707348013,132119126,6514427,
AFReal_50_5_70,50,5,70,236,114,0,0,0,0,0,1836,14394,26236,2825,0,0,0,10471,104915,433400,909732,165855,1142,0,19521,489292,3028108,10231986,3506766,400896,9905,4845,268284,7007806,58348833,28592621,4335252,168607,1323,66250,1701944,33080613,68348823,24731681,1571398,605,25466,570014,8878524,16733169,12945920,3194259,
AFReal_50_5_95,50,5,95,236,114,0,0,0,0,0,1791,14387,26236,2825,0,0,0,6279,94583,423656,909492,165855,1142,0,1504,77089,1677474,9213319,3432189,400796,9905,368,16479,410468,7139753,14675758,3902238,164969,149,5865,119130,1747486,3556883,2896928,761093,92,3398,65491,806030,1109482,668717,165163,
AFReal_50_10_15,50,10,15,236,114,0,0,0,0,0,1836,14394,26236,2825,0,0,0,9272,100838,433400,909732,165855,1142,0,30424,414140,2621708,9515536,3506766,400896,9905,65958,1670201,11421308,46955509,24202623,3951829,168608,13906,965945,27648372,245587452,116414012,19536742,1306710,3568,208581,6723856,150346070,301281220,100394006,5481517,
AFReal_50_10_70,50,10,70,236,114,0,0,0,0,0,1836,14394,26236,2825,0,0,0,9097,100758,433400,909732,165855,1142,0,6913,323975,2573325,9511154,3506766,400896,9905,1250,68253,2175023,35945712,23772344,3949991,168607,324,16039,417548,7951840,20251931,14664744,1282308,107,4894,120914,2015118,4009785,3116459,933061,
AFReal_50_10_95,50,10,95,236,114,0,0,0,0,0,1791,14387,26236,2825,0,0,0,2588,87745,423656,909492,165855,1142,0,406,21114,622330,8039271,3432189,400796,9905,95,4078,101077,1827691,5102067,3279156,164969,30,1288,26807,398307,852120,737787,254011,9,376,7953,116704,203423,137570,40550,
AFReal_50_15_15,50,15,15,236,114,0,0,0,0,0,1836,14394,26236,2825,0,0,0,8555,92321,433400,909732,165855,1142,0,28769,359109,2383100,8596963,3506766,400896,9905,32821,1335377,10846421,39705537,21959934,3587902,168608,6139,412768,13367056,192355797,110277489,16654038,1184935,1722,95294,2897272,62624062,142059611,76379779,5228095,
AFReal_50_15_70,50,15,70,236,114,0,0,0,0,0,1836,14394,26236,2825,0,0,0,8335,92239,433400,909732,165855,1142,0,3481,210260,2321600,8592347,3506766,400896,9905,674,34384,1088126,21926125,21419027,3585977,168607,181,8490,223011,4066661,10100476,9013319,1154945,58,2549,62545,1055230,2132862,1600467,476909,
AFReal_50_15_95,50,15,95,236,114,0,0,0,0,0,1791,14387,26236,2825,0,0,0,1496,68094,423656,909492,165855,1142,0,195,11324,336103,5929668,3432189,400796,9905,56,2289,54365,985496,2742540,2403602,164969,14,689,15293,226156,467749,416750,139500,7,268,4965,64154,112424,74550,21447,
AFReal_50_20_15,50,20,15,236,114,0,0,0,0,0,1836,14394,26236,2825,0,0,0,8301,88329,433400,909732,165855,1142,0,26689,336401,2289690,8161814,3506766,400896,9905,19713,1004636,10033240,36861389,20902301,3413051,168608,3671,235239,7786409,139876571,101273928,15476117,1108893,1082,59806,1747733,35793916,82022003,55375538,4776262,
AFReal_50_20_70,50,20,70,236,114,0,0,0,0,0,1836,14394,26236,2825,0,0,0,8046,88246,433400,909732,165855,1142,0,2247,146686,2221481,8157176,3506766,400896,9905,449,22493,693111,14714827,20278397,3411117,168607,113,5745,149180,2731968,6508242,6139838,1065405,31,1640,41105,694133,1424906,1082570,316893,
AFReal_50_20_95,50,20,95,236,114,0,0,0,0,0,1791,14387,26236,2825,0,0,0,1008,53454,423656,909492,165855,1142,0,127,7596,223314,4463455,3432189,400796,9905,36,1590,37788,677875,1845042,1821710,164969,8,371,9276,146628,314603,292133,96908,5,185,3303,39850,69480,49615,13867,
AFReal_50_500_15,50,500,15,236,114,0,0,0,0,0,1288,12039,26236,2825,0,0,0,3384,42268,279019,729846,165855,1142,0,570,34247,849747,3542071,2160213,317086,9905,110,6266,186277,3532363,7232304,1427306,101784,20,1152,36885,776950,1828203,1488995,351858,6,287,9040,157185,365885,318714,95779,
AFReal_50_500_70,50,500,70,236,114,0,0,0,0,0,1288,12039,26236,2825,0,0,0,233,13993,278887,729846,165855,1142,0,25,1596,54553,1171707,2159356,317086,9905,10,377,8708,166444,479792,485454,101776,2,96,2347,41347,82161,78940,28196,0,0,4,1957,16411,16235,3974,
AFReal_50_500_95,50,500,95,236,114,0,0,0,0,0,147,9937,26236,2825,0,0,0,13,862,31499,602445,165855,1142,0,3,191,3512,70625,250428,254534,9905,0,1,200,10049,31060,34415,13041,0,0,0,5,990,4152,1594,0,0,0,0,0,3,39,
AFReal_70_1_15,70,1,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,6312,41722,142318,177912,7981,0,0,51160,609392,1614816,3514848,1030585,73044,463,199232,3016389,20789687,78048658,14480013,1415711,45978,781663,12222686,93300392,469617653,219384523,33380151,769192,1159840,36573125,462707011,2246513117,1079112834,190561852,10433651,
AFReal_70_1_70,70,1,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,6295,41720,142318,177912,7981,0,0,49942,605859,1612748,3514829,1030585,73044,463,119779,2831412,20374438,77701199,14463322,1415672,45978,103765,3596792,54483650,440275108,215222894,33234173,768280,86129,3165727,56876728,620338321,616432201,178462567,10241271,
AFReal_70_1_95,70,1,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,5426,38580,141798,177912,7981,0,0,30888,549835,1362393,3261268,1027520,73044,463,29954,880396,11954728,70869312,12039126,1314720,45823,22532,795909,12673584,125680438,122183512,30303377,623745,17911,656047,11810799,129937860,137347358,49824454,5771820,
AFReal_70_5_15,70,5,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,5549,41722,142318,177912,7981,0,0,17432,244508,1384988,3514848,1030585,73044,463,65941,904650,6049929,26908294,12148900,1415711,45978,59424,2674015,27998449,125378838,57843641,11126690,650475,17495,1037987,30041415,440720129,307128680,49248137,2638426,
AFReal_70_5_70,70,5,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,5532,41720,142318,177912,7981,0,0,14053,237713,1382765,3514829,1030585,73044,463,4501,231989,4862849,26258329,12131292,1415672,45978,1291,62109,1548020,27825826,46081909,10855110,649519,604,25118,554841,8349246,15030785,10754327,2094639,
AFReal_70_5_95,70,5,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,4359,38580,141798,177912,7981,0,0,1384,65330,1059831,3261268,1027520,73044,463,362,15798,372431,5912855,9003071,1314720,45823,145,5768,116426,1662337,3155234,2368437,463874,92,3398,65004,794631,1084136,634933,142390,
AFReal_70_10_15,70,10,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,4425,41722,142318,177912,7981,0,0,11715,191023,1059461,3514848,1030585,73044,463,37390,673169,3741942,19369304,9096445,1415711,45978,12290,712502,15324123,91039748,34564270,7909143,494829,3371,185836,5615142,107573862,159544072,35303493,1598110,
AFReal_70_10_70,70,10,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,4408,41720,142318,177912,7981,0,0,5435,181592,1057165,3514829,1030585,73044,463,1120,57239,1630539,18414740,9078303,1415672,45978,301,15126,364654,6439319,14499805,7504243,493846,107,4811,114807,1857774,3430876,2482397,691326,
AFReal_70_10_95,70,10,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,2051,38580,141798,177912,7981,0,0,373,17813,447042,3261268,1027520,73044,463,92,3827,90547,1459536,3504277,1314720,45823,30,1233,25518,366563,739542,588155,178031,9,376,7908,112827,192016,125654,34513,
AFReal_70_15_15,70,15,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,4008,40506,142318,177912,7981,0,0,10443,145806,937814,3263558,1030585,73044,463,20896,509570,3302792,14141098,7821305,1292314,45978,5255,308685,7821697,65556017,30485159,5639325,410689,1606,84515,2383260,44645502,79096570,25611292,1378207,
