e	k	m
0	6	2725.0
1	6	41457.20000000001
2	6	225703.80000000008
0	7	5660.5999999999985
1	7	131019.27999999997
2	7	1092162.9200000002
0	8	7296.84
1	8	211454.03999999992
2	8	2539584.250000001
0	9	8056.760000000002
1	9	256724.48000000007
2	9	3713770.4700000007
0	10	8439.579999999996
1	10	279939.44000000006
2	10	4398922.500000001
0	11	8674.820000000002
1	11	293571.07
2	11	4795672.749999999
0	12	8845.050000000001
1	12	303248.6799999998
2	12	5065677.789999997
3	6	662953.1
3	7	4379867.36
3	8	1.5965932089999994E7
3	9	3.1799020690000013E7
3	10	4.4015196160000004E7
3	11	5.163275104E7
3	12	5.664974063999998E7
