e	k	t
0	6	1.790000000000001
1	6	9.02
2	6	58.65000000000001
0	7	2.8499999999999983
1	7	38.379999999999995
2	7	336.1200000000001
0	8	4.519999999999996
1	8	89.47
2	8	1096.18
0	9	5.459999999999996
1	9	129.98
2	9	1863.6499999999992
0	10	5.909999999999996
1	10	156.67000000000002
2	10	2434.6800000000003
0	11	6.139999999999996
1	11	157.20999999999998
2	11	2665.9699999999993
0	12	6.029999999999996
1	12	162.25000000000003
2	12	2805.5600000000018
3	6	222.4
3	7	1578.2199999999993
3	8	6834.180000000004
3	9	16071.619999999999
3	10	25443.239999999994
3	11	31877.01000000001
3	12	35642.59
